Name,Cuisine Type,Expensiveness,Country,Mean Rating,Terrace Available,Vegetarian Menu Available,Wine Menu Available
Aila," Modern Cuisine, Turkish",2,Turkey,42.4,True,True,False
Turk Fatih Tutak," Modern Cuisine, Turkish",5,Turkey,46.76470588235294,False,True,True
SADE Beş Denizler Mutfağı, Traditional Cuisine,2,Turkey,46.0,True,True,False
Tatbak," Turkish, Traditional Cuisine",2,Turkey,44.21686746987952,False,False,False
Şans," Turkish, Mediterranean Cuisine",3,Turkey,46.8,True,True,True
Glens, Italian,2,Turkey,42.608695652173914,True,False,False
Spago, International,5,Turkey,39.12751677852349,True,True,True
Spago," Californian, American Contemporary",5,USA,39.12751677852349,True,False,True
St. Regis Brasserie," Asian and Western, World Cuisine",3,Turkey,43.275862068965516,True,False,False
Atölye, Turkish,4,Turkey,46.36363636363637,False,True,False
Nobu, Japanese,4,Turkey,39.5,True,True,True
Nobu, Japanese Contemporary,5,Dubai,39.5,True,True,False
Topaz," Mediterranean Cuisine, Turkish",3,Turkey,44.333333333333336,False,False,False
29," Turkish, Modern Cuisine",3,Turkey,38.4,True,False,False
29, Modern Cuisine,3,France,38.4,True,False,False
AQUA, Seafood,5,Turkey,45.411764705882355,True,True,True
Tugra," Turkish, Modern Cuisine",5,Turkey,45.86666666666667,False,True,False
Sunset Grill & Bar, Classic Cuisine,5,Turkey,29.4,True,True,True
Feriye, Mediterranean Cuisine,2,Turkey,39.53333333333333,True,False,False
Banyan, Asian Contemporary,3,Turkey,39.93333333333333,False,True,False
Aman da Bravo," Modern Cuisine, Contemporary",3,Turkey,41.46666666666667,True,True,False
İnari Omakase Kuruçeşme, Japanese Contemporary,3,Turkey,49.2,False,True,False
Alaf," Turkish, Modern Cuisine",4,Turkey,38.0,True,True,False
1924 Istanbul," Russian, Turkish",3,Turkey,46.93333333333333,False,True,False
Cuma, Mediterranean Cuisine,2,Turkey,43.87931034482759,True,True,False
Çok Çok Thai, Thai,2,Turkey,43.86666666666667,True,True,False
Park Fora, Seafood,5,Turkey,38.333333333333336,True,True,False
Mikla," Mediterranean Cuisine, Modern Cuisine",4,Turkey,39.733333333333334,True,True,True
Kubbeli Lounge, Classic Cuisine,2,Turkey,45.0,False,False,False
Nicole," Modern Cuisine, Turkish",3,Turkey,44.733333333333334,False,True,False
Yeni Lokanta," Turkish, Creative",4,Turkey,45.53333333333333,False,True,False
Eleos Beyoğlu, Greek,2,Turkey,46.8,True,False,False
Sofyalı 9, Turkish,2,Turkey,35.2,True,True,False
Aheste, Turkish,2,Turkey,48.53333333333333,False,True,False
Mürver," Grills, Turkish",4,Turkey,44.0,True,False,True
Karaköy Lokantası, Turkish,2,Turkey,40.0,True,True,False
Octo, Mediterranean Cuisine,2,Turkey,48.666666666666664,True,True,False
Octo, Classic Cuisine,3,Belgium,48.666666666666664,False,False,False
Neolokal," Turkish, Modern Cuisine",5,Turkey,41.53333333333333,True,True,True
Tershane, Turkish,2,Turkey,48.75,False,False,False
Kiss the frog," Seafood, Sushi",2,Turkey,43.333333333333336,True,True,False
Pandeli," Turkish, Traditional Cuisine",2,Turkey,41.680672268907564,False,True,False
Rumelihisari Iskele, Seafood,2,Turkey,35.55555555555556,True,False,False
OCAK," Turkish, Traditional Cuisine",2,Turkey,48.31858407079646,False,True,False
Lokanta 1741, Turkish,3,Turkey,47.888888888888886,True,True,False
Matbah," Turkish, Country cooking",2,Turkey,47.0,True,True,False
Deraliye, Turkish,3,Turkey,48.2,True,True,False
Khorasani, Traditional Cuisine,2,Turkey,46.8,True,False,False
Zuma, Japanese Contemporary,5,Turkey,42.4,False,True,False
Zuma, Japanese,4,UnitedKingdom,42.4,False,False,False
Zuma, Japanese Contemporary,5,AbuDhabi,42.4,False,True,True
Zuma, Japanese Contemporary,4,Dubai,42.4,False,False,False
Giritli," Turkish, Traditional Cuisine",2,Turkey,44.266666666666666,True,True,False
Araka," Creative, Modern Cuisine",3,Turkey,33.333333333333336,True,True,False
AZUR, Seafood,4,Turkey,45.51724137931034,True,True,False
Kıyı, Seafood,4,Turkey,40.303030303030305,False,False,False
Seraf, Turkish,2,Turkey,42.5,True,True,False
Balıkçı Kahraman, Seafood,5,Turkey,38.78048780487805,False,False,False
Calipso, Seafood,2,Turkey,48.421052631578945,True,True,False
Beyti, Grills,3,Turkey,46.733333333333334,True,True,False
Botrini's, Mediterranean Cuisine,5,Greece,43.6,True,False,True
Le Pavillon, French Contemporary,4,Greece,44.473684210526315,True,False,False
Le Pavillon, Classic French,5,Germany,44.473684210526315,False,False,True
Le Pavillon," Contemporary, French",5,USA,44.473684210526315,False,False,False
VERi TABLE, French,4,Greece,49.0,False,False,True
Cookoovaya, Greek,4,Greece,41.6,True,True,False
Vezené, Meats and Grills,4,Greece,42.666666666666664,True,False,False
Oikeîo, Greek,2,Greece,42.4,True,False,False
Athénée, International,4,Greece,33.793103448275865,True,False,False
GB Roof Garden, Mediterranean Cuisine,4,Greece,43.93333333333333,True,True,True
Soil," Greek, Contemporary",5,Greece,45.714285714285715,True,False,False
Spondi, French,5,Greece,42.6,True,True,True
Nolan, Fusion,2,Greece,45.86666666666667,True,False,False
Aneton, Mediterranean Cuisine,3,Greece,47.94871794871795,True,False,False
Okio, Mediterranean Cuisine,3,Greece,47.0,False,False,False
The Zillers," Contemporary, Greek",4,Greece,41.86666666666667,True,False,False
Linou Soumpasis k sia, Greek,3,Greece,48.0,True,False,False
Aleria, Greek,4,Greece,48.2,True,True,True
SENSE, Creative,4,Greece,43.969465648854964,True,True,False
CTC, Modern Cuisine,4,Greece,46.53333333333333,True,False,True
Annie Fine Cooking, Modern Cuisine,3,Greece,40.0,True,True,False
Merceri, Greek,3,Greece,46.666666666666664,True,False,False
Cerdo Negro 1985," Mediterranean Cuisine, Fusion",3,Greece,47.94117647058823,True,False,False
Hytra, Modern Cuisine,4,Greece,41.0,True,True,False
Hervé," Contemporary, Modern Cuisine",4,Greece,48.23529411764706,True,True,False
Delta," Greek, Creative",5,Greece,43.6,False,True,True
Varoulko Seaside, Seafood,4,Greece,41.86666666666667,True,True,False
Pelagos," Contemporary, Mediterranean Cuisine",5,Greece,43.6,True,False,False
Legat 1903, Modern Cuisine,3,Serbia,47.391304347826086,True,False,True
Enso, Creative,3,Serbia,46.017699115044245,True,False,False
Twenty Two, International,3,Serbia,47.22222222222222,True,False,False
SkyLounge," International, Asian and Western",4,Serbia,46.2,True,False,False
Mezestoran Dvorište, Mediterranean Cuisine,2,Serbia,46.86666666666667,True,False,False
JaM, Modern Cuisine,2,Serbia,46.25,True,False,False
Homa, Creative,4,Serbia,46.13333333333333,True,False,True
Iva New Balkan Cuisine, Modern Cuisine,2,Serbia,47.03703703703704,True,True,False
Salon 1905, Modern Cuisine,4,Serbia,45.53333333333333,False,False,False
The Square, Modern Cuisine,3,Serbia,44.76923076923077,True,False,False
Ebisu, Japanese,3,Serbia,39.23076923076923,True,False,False
Langouste, Modern Cuisine,4,Serbia,46.44444444444444,False,False,False
Comunale Caffè e Cucina, Italian,2,Serbia,46.13333333333333,True,False,False
Metropolitan Grill," International, Balkan",3,Serbia,45.0,False,True,False
Gušti mora, Seafood,3,Serbia,43.93258426966292,False,False,False
